nodeId,fraud_transfer_flag,ip_count,card_count,device_count
12220793,0,21.0,3.0,4.0
12220820,0,7.0,1.0,1.0
12220855,0,8.0,2.0,1.0
12220870,0,135.0,12.0,2.0
12220879,0,169.0,9.0,2.0
12220931,0,18.0,4.0,1.0
12220936,0,35.0,4.0,1.0
12220982,0,6.0,0.0,2.0
12220998,0,31.0,3.0,0.0
12221032,0,21.0,1.0,1.0
12221036,0,89.0,7.0,1.0
12221039,1,99.0,9.0,3.0
12221042,0,223.0,5.0,1.0
12221061,0,104.0,6.0,3.0
12221062,0,17.0,2.0,1.0
12221065,0,24.0,5.0,3.0
12221073,0,49.0,2.0,1.0
12221076,0,57.0,4.0,3.0
12221082,0,13.0,2.0,1.0
12221088,0,35.0,3.0,2.0
12221089,0,26.0,1.0,2.0
12221093,0,146.0,9.0,1.0
12221097,0,43.0,8.0,2.0
12221099,0,159.0,8.0,1.0
12221102,0,249.0,8.0,11.0
12221106,0,34.0,6.0,2.0
12221114,0,30.0,4.0,2.0
12224116,0,7.0,2.0,3.0
12224329,0,46.0,1.0,1.0
12224350,0,9.0,5.0,0.0
12224365,0,7.0,4.0,3.0
12250610,0,7.0,6.0,1.0
12250611,0,248.0,10.0,4.0
12250620,0,8.0,3.0,1.0
12250621,0,106.0,4.0,1.0
12250632,0,59.0,11.0,1.0
12250636,0,80.0,5.0,1.0
12250638,0,19.0,2.0,0.0
12250639,0,63.0,10.0,0.0
12250645,0,13.0,1.0,1.0
12250648,0,32.0,5.0,5.0
12250649,0,59.0,5.0,1.0
12250650,0,24.0,7.0,1.0
12250658,0,46.0,6.0,3.0
12250660,0,258.0,9.0,1.0
12250661,0,144.0,8.0,1.0
12250662,0,290.0,8.0,1.0
12250668,0,68.0,2.0,3.0
12250670,0,99.0,7.0,2.0
12250672,0,2.0,0.0,2.0
12250673,0,185.0,1.0,1.0
12250677,0,160.0,6.0,1.0
12250680,0,124.0,2.0,1.0
12250686,0,171.0,10.0,9.0
12250695,0,48.0,7.0,2.0
12250703,0,5.0,1.0,8.0
12250709,0,3.0,1.0,1.0
12250710,0,75.0,5.0,2.0
12250713,0,95.0,5.0,1.0
12250718,0,32.0,3.0,2.0
12250719,0,4.0,1.0,2.0
12250723,0,49.0,2.0,2.0
12250725,0,97.0,10.0,3.0
12250726,0,52.0,3.0,1.0
12250727,0,60.0,7.0,2.0
12250732,0,5.0,2.0,1.0
12250734,0,13.0,0.0,2.0
12250736,0,104.0,8.0,1.0
12250750,0,34.0,7.0,2.0
12250795,0,3.0,1.0,0.0
12250799,0,25.0,5.0,1.0
12251074,0,1.0,0.0,2.0
12251076,0,35.0,3.0,1.0
12251122,0,135.0,11.0,1.0
12263188,0,48.0,8.0,0.0
12263261,0,65.0,3.0,1.0
12263263,0,6.0,1.0,0.0
12263276,0,5.0,1.0,0.0
12263290,0,18.0,1.0,2.0
12263535,0,21.0,5.0,4.0
12263583,0,13.0,2.0,1.0
12263697,0,8.0,1.0,1.0
12276430,0,13.0,2.0,2.0
12276475,0,102.0,9.0,1.0
12276486,0,24.0,4.0,28.0
12276573,0,18.0,1.0,4.0
12276574,0,8.0,0.0,0.0
12276644,0,2.0,1.0,4.0
12276726,0,5.0,1.0,2.0
12276778,0,82.0,9.0,2.0
12277022,0,11.0,3.0,3.0
12277048,0,28.0,10.0,1.0
