sourceNodeId,targetNodeId
12220936,14468841
12220998,14142509
12221039,14859796
12221042,13714392
12221065,13879396
12221065,14692559
12224350,14771779
12250632,14631918
12250658,14471076
12250660,13735185
12250660,14520308
12250660,13785858
12250662,14671357
12250680,13943724
12250719,13657564
12250799,13344908
12263188,12745735
12263535,14165983
12291659,14694573
12292156,14757914
12310200,13669622
12318951,13180141
12318958,13328667
12321266,14433026
12332565,13524953
12332934,14585581
12332976,14637032
12332989,14636693
12332996,14513476
12333010,13657485
12333014,13657473
12333029,14513622
12335203,14209778
12347967,13506145
12348890,14602020
12348895,13431690
12348926,14478340
12348931,14701361
12348938,14302606
12348957,13714361
12348965,14204316
12348966,12745609
12348989,13580917
12349152,13651986
12362407,13840345
12367350,13592950
12374243,13567951
12374243,14339821
12381473,13656443
12381532,13762921
12381556,13196740
12381588,13660742
12381590,13937361
12381617,14383316
12388916,13340025
12389045,13635069
12389178,14520095
12389230,13548513
12389230,13691388
12396389,13431745
12396409,14664235
12396418,14129760
12396418,14843931
12396425,14585432
12396425,13580897
12396437,14796297
12396439,13604118
12396443,13562919
12396450,14513447
12396462,14634122
12396462,14513567
12396706,12396924
12396708,14656026
12396709,14528565
12396732,13657618
12396778,14637007
12396778,13580996
12396814,13660770
12396829,13153281
12396853,14003874
12396866,13524982
12396883,13963297
12396900,13883034
12396900,14675800
12396905,14634162
12396905,13722592
12396905,13657564
12396905,13375849
12396905,13684923
12396908,13486927
12396908,14733027
12396916,13762926
12396916,14680040
12396919,12411966
12396924,12396706
12403342,12648114
12411708,13603880
12411902,13298018
12411903,13499849
12411903,13402220
12411903,13577591
12411913,13657522
12411927,13633016
12411956,13525017
12411956,14135134
12411956,14471133
12411956,14529422
12411962,14783175
12411966,12396919
12414967,13540224
12415194,13751900
12429476,13245510
12445384,14878378
12445459,13766674
12460300,14195946
12460467,13894483
12460559,14569965
12460559,13623767
12460559,13857544
12460559,14462572
12460737,14371987
12489849,14183469
12489887,14110390
12505661,13143472
12506190,13978919
12506277,12715337
12520162,14556947
12520258,13116386
12520392,14084654
12520396,14509650
12531864,13463557
12532187,13817381
12543867,14646480
12544296,14784965
12567888,13315454
12572167,13506229
12580434,14501781
12580587,14660237
12580748,13910029
12591551,13772821
12591706,14341806
12603164,13469723
12603164,13604197
12603164,14159935
12625570,13881723
12633898,14048260
12634122,14339241
12634202,14677684
12648111,13708609
12648114,12403342
12648135,14097829
12648318,14099719
12648387,14619947
12652160,13614225
12652160,14566573
12662159,12917879
12666094,13722513
12669268,14058774
12674721,14436588
12676509,14558065
12676651,13931132
12676756,14347972
12676872,14189516
12676872,14607371
12680897,14563952
12681000,14845108
12681010,13149647
12681240,13692745
12689192,12676506
12689230,14373316
12689715,13656516
12702897,14592253
12702961,14617527
12705093,12926476
12705151,14566150
12705343,13322432
12712053,14292710
12712054,13598267
12712279,13881475
12712496,13910674
12717561,13943842
12727885,14528705
12728312,14562988
12734333,14062919
12734939,14505808
12735071,13866261
12735311,13751900
12740334,14153559
12745609,12348966
12746957,14829498
12747023,13619663
12750122,14689682
12750175,13776456
12752036,13521596
12760816,14086734
12763731,14387967
12763731,13582160
12764013,13690916
12764227,14249998
12765322,14608721
12772234,14506207
12772271,14415371
12772418,14050974
12772525,14367131
12778474,14873653
12779206,14265681
12779532,12852757
12786023,14762540
12786137,13640830
12786143,13497867
12786244,14774546
12786244,13946796
12786479,12815348
12786732,13491269
12790691,13592379
12792987,14597157
12793975,14188559
12794025,14767237
12794082,14541871
